timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect;;;
1,67024E+12;127;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-317;text;FALSE;;2825;0;541;541;http://localhost:3001/;0;0;127;;;
1,67024E+12;172;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-270;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;172;;;
1,67024E+12;181;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-186;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;181;;;
1,67024E+12;181;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-146;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;180;;;
1,67024E+12;5;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-432;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;5;;;
1,67024E+12;183;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-2;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;183;;;
1,67024E+12;181;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-233;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;181;;;
1,67024E+12;27;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-493;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;27;;;
1,67024E+12;181;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-193;text;FALSE;;2825;0;520;520;http://localhost:3001/;0;0;181;;;
1,67024E+12;139;HTTP Request;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Thread Group 1-305;text;FALSE;;2825;0;524;524;http://localhost:3001/;0;0;139;;;
